race_number,fav_horse_id,fav_odds,fav_finish,won,user_pnl_after,bankroll_after
3377,14,2.54,8,0,-7501.00,16501.00
3378,8,1.70,1,1,-7431.00,16431.00
3379,16,1.82,1,1,-7349.00,16349.00
3380,16,2.22,3,0,-7449.00,16449.00
3381,4,3.56,2,0,-7549.00,16549.00
3382,14,4.03,1,1,-7246.00,16246.00
3383,4,3.65,3,0,-7346.00,16346.00
3384,14,2.91,1,1,-7155.00,16155.00
3385,3,3.11,1,1,-6944.00,15944.00
3386,16,4.49,2,0,-7044.00,16044.00
3387,4,3.04,8,0,-7144.00,16144.00
3388,16,2.64,1,1,-6980.00,15980.00
3389,12,2.94,1,1,-6786.00,15786.00
3390,14,3.74,1,1,-6512.00,15512.00
3391,14,2.44,4,0,-6612.00,15612.00
3392,1,3.59,2,0,-6712.00,15712.00
3393,8,3.62,3,0,-6812.00,15812.00
3394,14,4.26,1,1,-6486.00,15486.00
3395,8,2.64,2,0,-6586.00,15586.00
3396,1,3.63,5,0,-6686.00,15686.00
3397,16,2.15,7,0,-6786.00,15786.00
3398,16,3.10,8,0,-6886.00,15886.00
3399,4,3.04,5,0,-6986.00,15986.00
3400,16,2.31,7,0,-7086.00,16086.00
3401,8,2.50,1,1,-6936.00,15936.00
3402,14,2.84,1,1,-6752.00,15752.00
3403,4,2.49,3,0,-6852.00,15852.00
3404,1,2.19,1,1,-6733.00,15733.00
3405,1,1.82,1,1,-6651.00,15651.00
3406,8,3.02,7,0,-6751.00,15751.00
3407,16,3.04,2,0,-6851.00,15851.00
3408,16,2.70,6,0,-6951.00,15951.00
3409,14,2.84,6,0,-7051.00,16051.00
3410,4,4.31,6,0,-7151.00,16151.00
3411,12,3.03,1,1,-6948.00,15948.00
3412,3,3.81,3,0,-7048.00,16048.00
3413,14,2.61,6,0,-7148.00,16148.00
3414,4,2.46,3,0,-7248.00,16248.00
3415,3,4.02,3,0,-7348.00,16348.00
3416,16,3.32,2,0,-7448.00,16448.00
3417,16,2.98,3,0,-7548.00,16548.00
3418,1,3.01,3,0,-7648.00,16648.00
3419,14,2.44,2,0,-7748.00,16748.00
3420,8,2.54,1,1,-7594.00,16594.00
3421,16,2.69,2,0,-7694.00,16694.00
3422,14,3.22,1,1,-7472.00,16472.00
3423,8,2.62,7,0,-7572.00,16572.00
3424,14,3.57,8,0,-7672.00,16672.00
3425,14,1.99,3,0,-7772.00,16772.00
3426,3,4.02,6,0,-7872.00,16872.00
3427,16,3.00,8,0,-7972.00,16972.00
3428,4,3.81,4,0,-8072.00,17072.00
3429,14,3.62,1,1,-7810.00,16810.00
3430,16,1.93,1,1,-7717.00,16717.00
3431,12,2.26,1,1,-7591.00,16591.00
3432,3,2.72,3,0,-7691.00,16691.00
3433,16,2.66,3,0,-7791.00,16791.00
3434,16,2.37,2,0,-7891.00,16891.00
3435,14,3.42,8,0,-7991.00,16991.00
3436,8,2.37,1,1,-7854.00,16854.00
3437,8,2.54,2,0,-7954.00,16954.00
3438,12,5.20,1,1,-7534.00,16534.00
3439,4,1.92,2,0,-7634.00,16634.00
3440,16,2.69,3,0,-7734.00,16734.00
